Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,100,500,717,0.17250657081604004,"[6, 10, 11, 15, 17, 18, 19, 22, 32, 37]"
40,100,500,602,0.038075923919677734,"[10, 14, 17, 22, 27, 31, 33, 35, 38]"
40,100,500,720,0.29836058616638184,"[0, 2, 11, 14, 17, 19, 22, 26, 27, 30, 32, 39]"
40,100,500,805,0.8631815910339355,"[1, 2, 6, 10, 14, 15, 16, 24, 25, 29, 31, 38]"
40,100,500,1006,1.9111425876617432,"[1, 7, 9, 11, 16, 18, 19, 21, 29, 30, 31, 34, 39]"
40,100,500,993,2.4273409843444824,"[0, 2, 3, 5, 12, 19, 20, 21, 22, 25, 28, 31, 32, 34, 36]"
40,100,500,638,0.395979642868042,"[1, 2, 4, 11, 14, 17, 18, 21, 27, 34, 37]"
40,100,500,406,0.3675100803375244,"[7, 13, 14, 15, 18, 21, 27, 35, 36, 39]"
40,100,500,446,0.06062960624694824,"[2, 4, 7, 8, 12, 21, 22, 25]"
40,100,500,591,0.0941622257232666,"[4, 6, 7, 9, 15, 24, 29, 33]"
