Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
60,200,200,852,0.16701769828796387,"[[4, 9, 10, 13, 14, 19, 23, 25, 29, 39, 42, 52, 57]]"
60,200,200,936,0.1314535140991211,"[[0, 3, 5, 6, 12, 15, 22, 27, 31, 34, 35, 36, 43, 44]]"
60,200,200,939,0.08596277236938477,"[[16, 25, 26, 33, 37, 39, 40, 48, 51, 56, 57, 59]]"
60,200,200,843,0.12122488021850586,"[[2, 5, 9, 19, 21, 30, 32, 35, 37, 41, 46, 53, 56]]"
60,200,200,941,3.8838624954223633,"[[4, 6, 8, 10, 27, 30, 38, 45, 48, 51, 52, 56, 59]]"
60,200,200,1014,0.14789915084838867,"[[5, 7, 14, 16, 17, 23, 24, 27, 44, 48, 50, 55, 57]]"
60,200,200,926,0.3870868682861328,"[[18, 30, 31, 34, 36, 38, 41, 42, 47, 49, 53, 56]]"
60,200,200,820,0.09721589088439941,"[[6, 9, 14, 18, 28, 30, 32, 35, 40, 43, 53]]"
60,200,200,1024,0.010849475860595703,"[[3, 10, 13, 19, 20, 34, 38, 40, 44, 46, 47, 53, 56]]"
60,200,200,864,3.264145612716675,"[[21, 23, 29, 32, 36, 37, 44, 49, 53, 59]]"
