Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,500,100,559,0.0002334117889404297,"[[6, 8, 11, 12, 14, 24, 31]]"
40,500,100,768,0.00021576881408691406,"[[10, 12, 18, 24, 28, 29, 31, 33, 35, 37]]"
40,500,100,690,0.0002498626708984375,"[[0, 3, 4, 6, 7, 10, 15, 17, 20, 26, 31, 35, 37]]"
40,500,100,880,0.00030040740966796875,"[[1, 4, 11, 14, 16, 21, 22, 23, 24, 29, 34, 37]]"
40,500,100,622,0.00032782554626464844,"[[2, 4, 5, 11, 14, 17, 21, 30, 32, 35]]"
40,500,100,590,0.00030994415283203125,"[[1, 2, 3, 6, 8, 11, 16, 23, 28, 31, 33]]"
40,500,100,554,0.00015592575073242188,"[[3, 6, 10, 12, 16, 23, 26, 36, 38]]"
40,500,100,806,0.0001671314239501953,"[[0, 3, 5, 9, 16, 18, 20, 22, 23, 24, 28, 38]]"
40,500,100,674,0.0002167224884033203,"[[3, 10, 13, 19, 21, 30, 33, 37, 39]]"
40,500,100,515,0.00031280517578125,"[[7, 12, 13, 30, 32, 33, 34, 38, 39]]"
