Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,200,200,819,0.0313105583190918,"[[9, 10, 12, 15, 22, 24, 29, 32, 35, 37]]"
40,200,200,774,0.09186649322509766,"[[6, 8, 10, 28, 29, 31, 32, 33, 35, 37, 39]]"
40,200,200,749,0.0019075870513916016,"[[3, 4, 5, 13, 22, 30, 31, 32, 36, 37, 38]]"
40,200,200,711,0.0020902156829833984,"[[2, 5, 8, 9, 17, 23, 24, 34, 38]]"
40,200,200,854,0.007619142532348633,"[[0, 2, 4, 5, 7, 10, 16, 17, 19, 21, 27, 35]]"
40,200,200,770,0.0006501674652099609,"[[2, 3, 9, 14, 17, 22, 24, 26, 29, 33, 34]]"
40,200,200,763,0.009465932846069336,"[[2, 4, 5, 11, 12, 21, 25, 33, 38, 39]]"
40,200,200,798,0.0010366439819335938,"[[1, 2, 3, 6, 10, 18, 21, 25, 28, 37, 38]]"
40,200,200,958,0.008438587188720703,"[[3, 6, 7, 8, 14, 15, 16, 21, 23, 26, 27, 29, 32, 38]]"
40,200,200,773,0.007592439651489258,"[[7, 13, 14, 15, 19, 22, 25, 27, 29, 36, 39]]"
